10H41,Silver,Trailer,TUFF,2018,Trailer,2019-07-25,Waitemata
10J38,Grey,Trailer,GOODS,2018,Trailer,2019-05-12,Northland
10R61,Silver,Trailer,BOAT,2018,Boat Trailer,2019-05-26,Central
10Y90,Grey,Homebuilt,DOMESTIC TRAILER,2000,Trailer,2019-08-31,Southern
10Z59,Silver,Trailer,BOAT,2018,Boat Trailer,2019-04-30,Counties/Manukau
10Z93,Silver,Trailer,D-MAX UTILITY/DIGGER,2018,Trailer - Heavy,2019-06-25,Counties/Manukau
10ZJC,Blue,Moped,ESCUTA CITY,2008,Moped,2019-10-05,Canterbury
1116N,Blue,Briford,6X4,1999,Trailer,2019-08-12,Canterbury
1147U,Silver,Factory Built,TRAILER,1988,Boat Trailer,2019-06-04,Northland
11F18,Grey,Homebuilt,TRAILER,2018,Trailer,2019-07-18,Canterbury
11K38,Silver,Trailer,TUFF,2018,Trailer,2019-08-09,Central
11ZLD,Black,Suzuki,UZ,2008,Roadbike,2019-08-23,Wellington
11ZSR,Black,Kawasaki,EX,2008,Roadbike,2019-10-13,Auckland City
12M11,White,Trailer,MSTAR,2018,Trailer,2019-06-01,Auckland City
12M42,Silver,Trailer,COMPASS,2018,Trailer - Heavy,2019-06-09,Waikato
12U64,Grey,Trailer,6X4,2018,Boat Trailer,2019-08-18,Counties/Manukau
1395A,Grey,Homebuilt,PINTO,1995,Trailer,2019-08-05,Northland
1397W,Green,Trailer,LOCAL,2001,Trailer,2019-10-10,Bay of Plenty
13H28,Silver,Trailer,D-MAX FLAT DECK 3.6X,2018,Trailer,2019-10-01,Waitemata
13P73,Silver,Trailer,SURTEES,2018,Boat Trailer,2019-04-28,Auckland City
13Y81,Silver,Factory Built,TRAILUX TRAILER,2018,Trailer,2019-07-01,Wellington
1413X,,,,0,,2019-04-28,Canterbury
14A69,White,Trailer,ENCLOSED 26S,2019,Trailer,2019-08-11,Central
14GFL,Brown,Trailer,HOMEMADE,1979,Trailer,2019-08-02,Central
14WYJ,Blue,Hyosung,SF50S,2005,Moped,2019-06-23,Eastern
14Y46,Silver,Trailer,ELITE 10X5,2018,Trailer,2019-09-02,Canterbury
1522N,Grey,Trailer,HOSKING,1999,Boat Trailer,2019-09-29,Counties/Manukau
15B58,Silver,Trailer,PRO COMMERCIAL,2018,Trailer,2019-08-13,Bay of Plenty
15C37,Silver,Trailer,BOAT,2018,Boat Trailer,2019-05-28,Auckland City
15TNJ,Red,Honda,C50,1980,Moped,2019-06-07,Canterbury
15ZKC,Black,Suzuki,DR-Z400,2008,Roadbike,2019-06-23,Canterbury
1619E,Silver,Trailer,PRESCOT,1996,Trailer - Heavy,2019-04-23,Auckland City
1696S,Silver,Trailer,LOCAL BRIFORD,2000,Trailer,2019-05-15,Canterbury
16D25,Silver,Trailer,TUFF,2018,Trailer,2019-06-08,Bay of Plenty
16J34,Silver,Trailer,DOMESTIC TRAILER,2018,Trailer,2019-06-24,Counties/Manukau
16P44,Silver,Factory Built,MUDGWAY,2018,Boat Trailer,2019-07-12,Tasman
16W39,Grey,Trailer,DOMESTIC,2018,Trailer,2019-05-05,Wellington
17CSO,Orange,Trailer,ROMA,1977,Caravan,2019-09-23,Tasman
17EYD,Green,Trailer,,1978,Trailer,2019-06-20,Bay of Plenty
17J86,Silver,Trailer,DOMESTIC TRAILER,2018,Trailer,2019-05-27,Wellington
17Q17,Blue,Reid,TRAILER,2018,Trailer - Heavy,2019-08-19,Waitemata
17T78,Silver,Trailer,BRENT SMITH,2018,Trailer - Heavy,2019-08-10,Counties/Manukau
1876P,Silver,Trailer,FACTORY BUILT,1999,Trailer,2019-10-06,Central
18ZGS,Black,Suzuki,VL250,2008,Roadbike,2019-06-10,Waitemata
19G31,Silver,Trailer,TRAYLA,2018,Trailer,2019-08-15,Waitemata
19N53,Silver,Trailer,OUTPOST,2018,Trailer,2019-09-29,Northland
19S63,Silver,Titan,DOMESTIC TRAILER,2018,Trailer,2019-06-08,Bay of Plenty
19T77,Silver,Trailer,HOMEBUILT,2018,Trailer,2019-06-01,Waikato
19U44,Silver,Trailer,TUFF,2018,Trailer,2019-06-23,Counties/Manukau
1B346,Silver,Pinto,UNBRAKED TANDEM,2014,Trailer,2019-09-28,Auckland City
1B361,Grey,Trailer,HOMEBUILT,2014,Boat Trailer,2019-10-08,Auckland City
1B547,Silver,Pinto,TRADE WELLSIDE,2014,Trailer,2019-08-10,Counties/Manukau
1E164,Grey,Trailer,ROAD CHIEF,2014,Trailer,2019-05-20,Eastern
1E344,Silver,Trailer,TRADE TESTED,2014,Trailer,2019-06-11,Wellington
1F170,Grey,Trailer,PRESCOTT,1974,Boat Trailer,2019-05-25,Waikato
1F920,Silver,Trailer,ELITE 7X4 HDT,2014,Trailer,2019-07-26,Central
1G114,Grey,Trailer,LOCAL,2014,Trailer,2019-07-02,Counties/Manukau
1J238,White,Trailer,HOMEBUILT,2015,Trailer - Heavy,2019-06-06,Auckland City
1K167,Silver,Trailer,AIR STREAM,1978,Caravan,2019-07-23,Waitemata
1L305,Silver,Trailer,ELITE 7X4 STANDARD,2015,Trailer,2019-06-01,Waikato
1M360,White,Trailer,ENCLOSED,2015,Trailer,2019-09-02,Auckland City
1P503,Silver,Trailer,LOCAL,2015,Trailer,2019-08-08,Bay of Plenty
1P990,White,Trailer,HOMEBUILT,1990,Trailer,2019-08-26,Canterbury
1Q258,Silver,Trailer,ROAD CHIEF,2015,Trailer,2019-07-12,Wellington
1Q383,Black,Trailer,CAR TRANSPORTER,2015,Trailer,2019-05-05,Wellington
1S427,Red,Trailer,NOVASEL,1997,Trailer,2019-07-12,Tasman
1SPOT1,Blue,Mazda,ATENZA,2005,Stationwagon,2019-10-13,Auckland City
1T151,Silver,Factory Built,TRAILER,2015,Trailer,2019-09-11,Waitemata
1T976,Black,Trailer,CARBINES,2015,Trailer,2019-10-11,Tasman
1U525,Silver,Trailer,TUI TRAILERS,2015,Trailer - Heavy,2019-05-13,Counties/Manukau
1U574,Yellow,Trailer,HOMEBUILT,2015,Trailer,2019-05-22,Central
1U999,White,Briford,7X4 SHUTTLE,2015,Trailer,2019-05-10,Canterbury
1W207,Silver,Trailer,FLAT DECK,2015,Trailer,2019-04-29,Waikato
1W708,Silver,Trailer,HOME MADE,2015,Trailer,2019-07-08,Canterbury
1W948,Silver,Pinto,KINGSIDER,2015,Trailer,2019-06-14,Northland
1Z133,Silver,Trailer,COMPASS,2015,Trailer,2019-07-28,Northland
1Z368,Silver,Briford,8X4,2015,Trailer,2019-09-23,Waitemata
2061F,Brown,Trailer,DOMESTIC,1997,Trailer,2019-08-27,Central
20E82,Silver,Trailer,8X5 TRADESMAN,2018,Trailer,2019-06-05,Waitemata
20H63,Silver,Trailer,TRAILPRO,2013,Trailer,2019-09-13,Waitemata
20M82,Silver,Reid,TRAILER,2018,Trailer - Heavy,2019-08-26,Auckland City
20M86,Silver,Reid,TRAILER,2018,Boat Trailer,2019-09-26,Waitemata
20Q82,Silver,Trailer,YAMAR TWIN AXLW,2018,Trailer,2019-06-26,Auckland City
20W14,White,Caravan,FLEETWOOD HERITAGE,2006,Caravan,2019-07-24,Waitemata
20ZMU,Black,Factory Built,SACHS MADASS 50,2008,Moped,2019-10-05,Wellington
2110I,White,Caravan,CRESTA,1976,Caravan,2019-10-03,Wellington
21DEF,Grey,Trailer,LOCAL,1977,Trailer,2019-05-20,Waikato
21Q62,Silver,Trailer,LOCAL,2018,Trailer,2019-09-25,Canterbury
21ZEF,Blue,Yamaha,CV50AW,2008,Moped,2019-07-29,Auckland City
2239M,Green,Trailer,HOMEBUILT,1998,Trailer,2019-05-10,Waitemata
2290K,Blue,Homebuilt,TRAILER,1992,Trailer,2019-07-18,Central
22A25,Silver,Trailer,TRAILERWORLD 7X4STD,2018,Trailer,2019-08-26,Auckland City
22EJH,Brown,Trailer,PROFESSIONAL,1977,Trailer,2019-09-23,Northland
22KYP,Grey,Classic,,1968,Trailer,2019-07-12,Bay of Plenty
22U13,Grey,Trailer,JFK JETSKI,2018,Boat Trailer,2019-09-08,Auckland City
22WJH,Red,Factory Built,TGB PALIO,2004,Moped,2019-06-09,Central
22ZUE,Red,Honda,XR,2005,Roadbike,2019-07-26,Wellington
2305H,Grey,Danncraft,W/R 600,1997,Boat Trailer,2019-04-19,Canterbury
23M12,Silver,Trailer,TUFF,2018,Trailer,2019-08-20,Waikato
23W40,Silver,Trailer,HOMEBUILT,2019,Trailer,2019-09-04,Auckland City
23Z38,Silver,Trailer,ELITE 7X4,2018,Trailer,2019-07-08,Canterbury
24A23,Red,Trailer,WOOD SPLITTER,2019,Trailer,2019-10-07,Canterbury
24A80,Silver,Trailer,PRO COMMERCIAL,2018,Trailer - Heavy,2019-08-07,Northland
24B95,Silver,Briford,8X4 TANDEM,2018,Trailer,2019-09-11,Canterbury
24H15,White,Bailey,BURGUNDY,2008,Caravan,2019-06-04,Counties/Manukau
24M70,Silver,Trailer,TRAYLA,2018,Trailer,2019-07-10,Central
24U38,Black,Homebuilt,TRAILER,2018,Trailer,2019-06-05,Central
24ZJR,Black,Suzuki,VL250,2008,Roadbike,2019-05-30,Northland
2546M,White,Trailer,EL CANTO,1978,Caravan,2019-09-26,Central
2566H,Orange,Trailer,LOCAL,1997,Trailer,2019-10-01,Central
25C30,Silver,Trailer,ASD JETSKI,2018,Boat Trailer,2019-08-26,Bay of Plenty
25T63,Silver,Titan,DOMESTIC TRAILER,2018,Trailer,2019-09-23,Bay of Plenty
267W,Grey,Trailer,LOCAL,2001,Trailer,2019-08-06,Bay of Plenty
26E20,Black,Homebuilt,TRAILER,1956,Trailer,2019-09-25,Canterbury
26N33,Silver,Trailer,PRESCOTT,2019,Trailer - Heavy,2019-08-23,Eastern
26S98,Grey,Trailer,COMPASS FPT104,2019,Trailer,2019-05-14,Waitemata
26YUR,Red,Honda,NVS50,2008,Moped,2019-10-11,Canterbury
273S,Silver,Factory Built,BRENT SMITH TRAILERS,2000,Trailer,2019-08-07,Waikato
27E39,Silver,Trailer,7X4 CRUISER,2019,Trailer,2019-09-04,Central
27HER,Grey,Trailer,HOMEMADE,1979,Trailer,2019-09-17,Tasman
27P14,Grey,Trailer,PWC JETSKI,2019,Boat Trailer,2019-09-07,Canterbury
27TPR,Black,Harley Davidson,95 DYNA CONVERTIBLE,1995,Roadbike,2019-07-21,Canterbury
27UPL,Silver,Moped,YAMAHA NEOS YN100,2000,Moped,2019-06-10,Waitemata
28M73,Silver,Trailer,COMPASS-KHVT157,2019,Trailer,2019-07-26,Waitemata
28R72,Silver,Trailer,LOCAL,2002,Trailer,2019-05-06,Counties/Manukau
