10A12,Black,Trailer,TRANSPORTER,2018,Trailer,2019-03-23,Canterbury
10H18,Silver,Trailer,TUFF,2018,Trailer,2019-04-08,Waitemata
10H41,Silver,Trailer,TUFF,2018,Trailer,2019-07-25,Waitemata
10J38,Grey,Trailer,GOODS,2018,Trailer,2019-05-12,Northland
10R61,Silver,Trailer,BOAT,2018,Boat Trailer,2019-05-26,Central
10Y90,Grey,Homebuilt,DOMESTIC TRAILER,2000,Trailer,2019-08-31,Southern
10Z59,Silver,Trailer,BOAT,2018,Boat Trailer,2019-04-30,Counties/Manukau
10Z93,Silver,Trailer,D-MAX UTILITY/DIGGER,2018,Trailer - Heavy,2019-06-25,Counties/Manukau
1116N,Blue,Briford,6X4,1999,Trailer,2019-08-12,Canterbury
1147U,Silver,Factory Built,TRAILER,1988,Boat Trailer,2019-06-04,Northland
11D83,Silver,Reid,TRAILER,2018,Trailer - Heavy,2019-04-08,Waitemata
11F18,Grey,Homebuilt,TRAILER,2018,Trailer,2019-07-18,Canterbury
11K38,Silver,Trailer,TUFF,2018,Trailer,2019-08-09,Central
11ZLD,Black,Suzuki,UZ,2008,Roadbike,2019-08-23,Wellington
1294T,Grey,Trailer,TOKO,2000,Boat Trailer,2019-03-23,Counties/Manukau
12M11,White,Trailer,MSTAR,2018,Trailer,2019-06-01,Auckland City
12M42,Silver,Trailer,COMPASS,2018,Trailer - Heavy,2019-06-09,Waikato
12U64,Grey,Trailer,6X4,2018,Boat Trailer,2019-08-18,Counties/Manukau
1395A,Grey,Homebuilt,PINTO,1995,Trailer,2019-08-05,Northland
13P73,Silver,Trailer,SURTEES,2018,Boat Trailer,2019-04-28,Auckland City
13Y81,Silver,Factory Built,TRAILUX TRAILER,2018,Trailer,2019-07-01,Wellington
1413X,,,,0,,2019-04-28,Canterbury
14A69,White,Trailer,ENCLOSED 26S,2019,Trailer,2019-08-11,Central
14GFL,Brown,Trailer,HOMEMADE,1979,Trailer,2019-08-02,Central
14WYJ,Blue,Hyosung,SF50S,2005,Moped,2019-06-23,Eastern
14Y46,Silver,Trailer,ELITE 10X5,2018,Trailer,2019-09-02,Canterbury
14ZBP,Silver,Suzuki,SJ50QT,2006,Moped,2019-09-01,Wellington
15B58,Silver,Trailer,PRO COMMERCIAL,2018,Trailer,2019-08-13,Bay of Plenty
15C37,Silver,Trailer,BOAT,2018,Boat Trailer,2019-05-28,Auckland City
15TNJ,Red,Honda,C50,1980,Moped,2019-06-07,Canterbury
15ZKC,Black,Suzuki,DR-Z400,2008,Roadbike,2019-06-23,Canterbury
15ZMJ,Red,Honda,CBR1000,2008,Roadbike,2019-05-29,Wellington
1619E,Silver,Trailer,PRESCOT,1996,Trailer - Heavy,2019-04-23,Auckland City
1634A,Silver,Homebuilt,2400 T,1995,Trailer,2019-03-22,Eastern
1696S,Silver,Trailer,LOCAL BRIFORD,2000,Trailer,2019-05-15,Canterbury
16CPH,Grey,Trailer,LOCAL,1975,Trailer,2019-03-26,Southern
16D25,Silver,Trailer,TUFF,2018,Trailer,2019-06-08,Bay of Plenty
16G21,Silver,Trailer,BUNNINGS,2018,Trailer,2019-03-19,Eastern
16J34,Silver,Trailer,DOMESTIC TRAILER,2018,Trailer,2019-06-24,Counties/Manukau
16P44,Silver,Factory Built,MUDGWAY,2018,Boat Trailer,2019-07-12,Tasman
16W39,Grey,Trailer,DOMESTIC,2018,Trailer,2019-05-05,Wellington
17C31,Silver,Trailer,HOMEBUILT,2018,Trailer,2019-04-15,Canterbury
17EYD,Green,Trailer,,1978,Trailer,2019-06-20,Bay of Plenty
17J86,Silver,Trailer,DOMESTIC TRAILER,2018,Trailer,2019-05-27,Wellington
17Q17,Blue,Reid,TRAILER,2018,Trailer - Heavy,2019-08-19,Waitemata
17T78,Silver,Trailer,BRENT SMITH,2018,Trailer - Heavy,2019-08-10,Counties/Manukau
18H70,Silver,Trailer,TABLEAU,2018,Trailer,2019-03-15,Eastern
18ZGS,Black,Suzuki,VL250,2008,Roadbike,2019-06-10,Waitemata
1947W,Blue,Trailer,OTHER COMMERCIAL TRA,2001,Trailer - Heavy,2019-04-27,Wellington
19G31,Silver,Trailer,TRAYLA,2018,Trailer,2019-08-15,Waitemata
19R47,Grey,Trailer,DOMESTIC,2018,Trailer,2019-04-11,Northland
19R82,Silver,Trailer,RES,2018,Trailer,2019-04-09,Waikato
19S63,Silver,Titan,DOMESTIC TRAILER,2018,Trailer,2019-06-08,Bay of Plenty
19T77,Silver,Trailer,HOMEBUILT,2018,Trailer,2019-06-01,Waikato
19U44,Silver,Trailer,TUFF,2018,Trailer,2019-06-23,Counties/Manukau
1A751,White,Jayco,EAGLE,2014,Caravan,2019-03-28,Waitemata
1B425,Silver,Trailer,ELITE 8X5,2014,Trailer,2019-04-01,Canterbury
1B547,Silver,Pinto,TRADE WELLSIDE,2014,Trailer,2019-08-10,Counties/Manukau
1B623,Silver,Trailer,SALVAGE,2009,Trailer,2019-03-18,Canterbury
1B884,Silver,Trailer,BOAT,2014,Boat Trailer,2019-03-17,Counties/Manukau
1C738,Silver,Kea,K85SAT,2014,Trailer,2019-04-09,Waikato
1E164,Grey,Trailer,ROAD CHIEF,2014,Trailer,2019-05-20,Eastern
1E344,Silver,Trailer,TRADE TESTED,2014,Trailer,2019-06-11,Wellington
